# MNE-Annotations
# onset, duration, description
69.931366,6.697517395019531,BAD_time
71.867065,3.2648773193359375,BAD_time
145.02179,9.33148193359375,BAD_muscle
166.350876,2.232513427734375,BAD_time
239.466843,8.64459228515625,BAD_muscle
240.325516,1.277557373046875,BAD_time
243.938812,1.006561279296875,BAD_time
279.866852,2.34759521484375,BAD_muscle
283.523438,2.6439208984375,BAD_muscle
306.462738,1.814453125,BAD_muscle
333.339294,3.6937255859375,BAD_muscle
348.389801,6.013580322265625,BAD_time
351.745178,2.527252197265625,BAD_muscle
359.809326,4.05206298828125,BAD_time
431.291565,8.35943603515625,BAD_muscle
458.961395,3.460418701171875,BAD_muscle
511.796997,3.21417236328125,BAD_muscle
515.892517,2.7994384765625,BAD_muscle
568.244324,1.43212890625,BAD_time
570.566711,4.057373046875,BAD_muscle
